smiles,Fu_final,lgFu,Fu_train_test
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0.96,-0.017728767,test
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0.96,-0.017728767,train
NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,0.96,-0.017728767,train
C=CC(=Nc1ccc(cn1)S(=O)(=O)N1CCN(CC1)C(=O)C1CC1)O,0.96,-0.017728767,train
NCCCNCCSP(=O)(O)O,0.95999999,-0.017728771,test
CN1CC2=C(CC1)N(CC1C=CC=CC=1)C1C=CC=CC2=1,0.95999999,-0.017728771,train
CC(C)NCC(O)COC1=CC=C(O)C=C1,0.95999999,-0.017728771,train
Cc1cccc(n1)C#CC1=C/C(=N/OC([3H])([3H])[3H])/CCC1,0.956,-0.019542108,train
COc1ccc(c(c1)O)CNCC12CC3CC(C2)CC(C1)C3,0.956,-0.019542108,train
CN1C2N=CN(C)C=2C(=O)NC1=O,0.955,-0.019996628,train
C=CN1CCCC1=O,0.953,-0.020907099,train
NNC(=O)c1ccncc1,0.95,-0.022276395,test
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0.95,-0.022276395,test
CN1CCC[C@H]1c1cccnc1,0.95,-0.022276395,train
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0.95,-0.022276395,test
CNC1C(O)C(OCC1(C)O)OC1C(CC(N)C(OC2OC(CN)C(O)C(O)C2O)C1O)NC(=O)C(O)CN,0.949999999,-0.022276395,train
CCCC(C)(COC(N)=O)COC(N)=O,0.949999997,-0.022276396,train
CC1CC(=O)C2(O)OC3C(OC2O1)C(O)C(NC)C(O)C3NC,0.949999995,-0.022276397,train
N=C(N)NCCN1CCCCCCC1,0.949999995,-0.022276397,train
C[n+]1ccccc1/C=N/O,0.949999995,-0.022276397,train
OCC(=O)NCCCOC1C=C(CN2CCCCC2)C=CC=1,0.949999995,-0.022276397,train
CNC(=O)ON=CC(C)(C)S(C)(=O)=O,0.948,-0.023191663,train
