smiles,pKa_Basic,pKaBasic_train_test
CCc1noc(CC)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,0.46,train
COCCOCCOCCOc1cccc(C2=N[C@@](C)(C(=O)O)CS2)c1O,0.46,train
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.47,test
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0.47,train
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,0.48,test
COCOC[C@H](CCC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)O,0.48,train
Cc1c(NCc2c(C(C)C)c(=O)n(-c3ccccc3)n2C)c(=O)n(-c2ccccc2)n1C,0.48,train
O=C1CN(/N=C/C=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0.48,train
CCOCc1ccc(C)c(Nc2ncc(-c3ccc(N4CCNC4=O)cc3)o2)c1,0.48,train
Cc1cc(=O)n(-c2ccccc2)n1C,0.49,train
C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,0.49,train
C[C@]1(C(=O)O)CSC(c2ccc(O)cc2O)=N1,0.49,train
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,0.5,test
Cc1cnn(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.51,train
Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,0.51,train
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(=O)[nH]cnc21,0.52,train
COCCNC(=O)c1ccnc(C(=O)NCCOC)c1,0.53,train
COCCOCCOc1ccc(C2=N[C@@](C)(C(=O)O)CS2)c(O)c1,0.53,train
COCCCNC(=O)c1ccnc(C(=O)NCCCOC)c1,0.54,train
O=C1CN(/N=C/C=C/c2ccc([N+](=O)[O-])o2)C(=O)N1CO,0.54,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.54,train
Nc1nc2c(ncn2CC[C@@H](O)CO)c(=O)[nH]1,0.54,train
Nc1nc2c(ncn2C[C@H](CO)CCO)c(=O)[nH]1,0.54,train
Nc1nc2c(ncn2CC(CO)CO)c(=O)[nH]1,0.54,train
Cc1nc(=O)cc(/C=C/c2ccc([N+](=O)[O-])o2)[nH]1,0.54,train
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.55,test
